Распределение температуры на момент времени t = 60 секунд:
x = 0, T = 300 C
x = 0.0603206, T = 79.3771 C
x = 0.060521, T = 79.2243 C
x = 0.0607214, T = 79.0753 C
x = 0.0609218, T = 78.93 C
x = 0.0611222, T = 78.7884 C
x = 0.0613226, T = 78.6504 C
x = 0.061523, T = 78.516 C
x = 0.0617234, T = 78.3853 C
x = 0.0619238, T = 78.2583 C
x = 0.0621242, T = 78.1348 C
x = 0.0623246, T = 78.0149 C
x = 0.0625251, T = 77.8986 C
x = 0.0627255, T = 77.7859 C
x = 0.0629259, T = 77.6767 C
x = 0.0631263, T = 77.5711 C
x = 0.0633267, T = 77.4689 C
x = 0.0635271, T = 77.3703 C
x = 0.0637275, T = 77.2752 C
x = 0.0639279, T = 77.1835 C
x = 0.0641283, T = 77.0954 C
x = 0.0643287, T = 77.0106 C
x = 0.0645291, T = 76.9293 C
x = 0.0647295, T = 76.8515 C
x = 0.0649299, T = 76.777 C
x = 0.0651303, T = 76.7059 C
x = 0.0653307, T = 76.6382 C
x = 0.0655311, T = 76.5739 C
x = 0.0657315, T = 76.5128 C
x = 0.0659319, T = 76.4552 C
x = 0.0661323, T = 76.4008 C
x = 0.0663327, T = 76.3497 C
x = 0.0665331, T = 76.3019 C
x = 0.0667335, T = 76.2574 C
x = 0.0669339, T = 76.2161 C
x = 0.0671343, T = 76.1781 C
x = 0.0673347, T = 76.1432 C
x = 0.0675351, T = 76.1116 C
x = 0.0677355, T = 76.0832 C
x = 0.0679359, T = 76.0579 C
x = 0.0681363, T = 76.0358 C
x = 0.0683367, T = 76.0168 C
x = 0.0685371, T = 76.0009 C
x = 0.0687375, T = 75.9881 C
x = 0.0689379, T = 75.9785 C
x = 0.0691383, T = 75.9718 C
x = 0.0693387, T = 75.9683 C
x = 0.0695391, T = 75.9677 C
x = 0.0697395, T = 75.9702 C
x = 0.0699399, T = 75.9757 C
x = 0.0701403, T = 75.9842 C
x = 0.0703407, T = 75.9956 C
x = 0.0705411, T = 76.01 C
x = 0.0707415, T = 76.0274 C
x = 0.0709419, T = 76.0476 C
x = 0.0711423, T = 76.0707 C
x = 0.0713427, T = 76.0968 C
x = 0.0715431, T = 76.1256 C
x = 0.0717435, T = 76.1574 C
x = 0.0719439, T = 76.1919 C
x = 0.0721443, T = 76.2293 C
x = 0.0723447, T = 76.2695 C
x = 0.0725451, T = 76.3124 C
x = 0.0727455, T = 76.3581 C
x = 0.0729459, T = 76.4065 C
x = 0.0731463, T = 76.4577 C
x = 0.0733467, T = 76.5115 C
x = 0.0735471, T = 76.5681 C
x = 0.0737475, T = 76.6273 C
x = 0.0739479, T = 76.6891 C
x = 0.0741483, T = 76.7536 C
x = 0.0743487, T = 76.8207 C
x = 0.0745491, T = 76.8904 C
x = 0.0747495, T = 76.9627 C
x = 0.0749499, T = 77.0375 C
x = 0.0751503, T = 77.1148 C
x = 0.0753507, T = 77.1947 C
x = 0.0755511, T = 77.2771 C
